indication_mesh_id,indication_mesh_term,mesh2026_preferred_term,n_pairs,n_genes,n_A,n_B,candidate_source,candidate_trait_key,candidate_trait_name,phenotype_id,genome_build,mapping_tier,mapping_rationale,clinical_domain,canonical_group,pops_available,non_eur_pops_available,source_verified,candidate_status,reviewer_decision,reviewer_notes,analysis_role,locked_mapping_tier,locking_reason,mapping_uid
D029424,"Pulmonary Disease, Chronic Obstructive","Pulmonary Disease, Chronic Obstructive",20,20,3,17,GBMI,GBMI::COPD,Chronic obstructive pulmonary disease,COPD,GRCh38,Direct disease,The GBMI endpoint is an exact or clinically equivalent disease endpoint.,direct_disease,COPD,"AFR,AMR,EAS,EUR","AFR,AMR,EAS",True,REVIEW,,,PRIMARY,Direct disease,Locked as the single primary representation of this indication.,map_c342a950924fe3b4
D029424,"Pulmonary Disease, Chronic Obstructive","Pulmonary Disease, Chronic Obstructive",20,20,3,17,Pan-UKB,Pan-UKB::continuous|3063|both_sexes||irnt,Forced expiratory volume in 1-second (FEV1),continuous|3063|both_sexes||irnt,GRCh37,Closely related phenotype,Spirometry measures airflow limitation central to COPD but is not the disease endpoint.,pulmonary,fev1,"AFR,CSA,EUR,MID","AFR,CSA,MID",True,REVIEW,,,SENSITIVITY,Closely related phenotype,Retained only for prespecified sensitivity analysis.,map_3b5ef0a073ff5fa0
D029424,"Pulmonary Disease, Chronic Obstructive","Pulmonary Disease, Chronic Obstructive",20,20,3,17,Pan-UKB,Pan-UKB::continuous|3062|both_sexes||irnt,Forced vital capacity (FVC),continuous|3062|both_sexes||irnt,GRCh37,Closely related phenotype,Spirometry measures airflow limitation central to COPD but is not the disease endpoint.,pulmonary,fvc,"AFR,CSA,EUR,MID","AFR,CSA,MID",True,REVIEW,,,SENSITIVITY,Closely related phenotype,Retained only for prespecified sensitivity analysis.,map_16d098169734a13c
D003424,Crohn Disease,Crohn Disease,19,19,1,18,Pan-UKB,Pan-UKB::biomarkers|30710|both_sexes||irnt,C-reactive protein,biomarkers|30710|both_sexes||irnt,GRCh37,Proxy biomarker,CRP is a nonspecific inflammatory biomarker and does not represent the disease endpoint.,inflammation,c_reactive_protein,"CSA,EUR",CSA,True,REVIEW,,,REJECT,Proxy biomarker,CRP is too nonspecific to represent this disease indication.,map_26febf47fe8b8908
D006973,Hypertension,Hypertension,19,19,8,11,Pan-UKB,Pan-UKB::continuous|4079|both_sexes||irnt,"Diastolic blood pressure, automated reading",continuous|4079|both_sexes||irnt,GRCh37,Direct quantitative readout,Blood pressure is the defining quantitative phenotype.,blood_pressure,diastolic_blood_pressure,"CSA,EUR",CSA,True,REVIEW,,,SENSITIVITY,Direct quantitative readout,Retained only for prespecified sensitivity analysis.,map_a10198eb08d8bca6
D006973,Hypertension,Hypertension,19,19,8,11,Pan-UKB,Pan-UKB::continuous|4080|both_sexes||irnt,"Systolic blood pressure, automated reading",continuous|4080|both_sexes||irnt,GRCh37,Direct quantitative readout,Blood pressure is the defining quantitative phenotype.,blood_pressure,systolic_blood_pressure,"CSA,EAS,EUR","CSA,EAS",True,REVIEW,,,PRIMARY,Direct quantitative readout,Locked as the single primary representation of this indication.,map_51438025f9ca1f25
D003924,"Diabetes Mellitus, Type 2","Diabetes Mellitus, Type 2",18,18,9,9,Pan-UKB,Pan-UKB::biomarkers|30750|both_sexes||irnt,Glycated haemoglobin (HbA1c),biomarkers|30750|both_sexes||irnt,GRCh37,Direct quantitative readout,HbA1c is a standard quantitative measure of chronic glycemia.,glycemia,hba1c,"CSA,EUR,MID","CSA,MID",True,REVIEW,,,PRIMARY,Direct quantitative readout,Locked as the single primary representation of this indication.,map_ae8d9a8f89a7795e
D001172,"Arthritis, Rheumatoid","Arthritis, Rheumatoid",15,15,3,12,Pan-UKB,Pan-UKB::biomarkers|30710|both_sexes||irnt,C-reactive protein,biomarkers|30710|both_sexes||irnt,GRCh37,Proxy biomarker,CRP is a nonspecific inflammatory biomarker and does not represent the disease endpoint.,inflammation,c_reactive_protein,"CSA,EUR",CSA,True,REVIEW,,,REJECT,Proxy biomarker,CRP is too nonspecific to represent this disease indication.,map_aa1939a68293babc
D006937,Hypercholesterolemia,Hypercholesterolemia,14,14,3,11,Pan-UKB,Pan-UKB::biomarkers|30640|both_sexes||irnt,Apolipoprotein B,biomarkers|30640|both_sexes||irnt,GRCh37,Direct quantitative readout,Circulating lipid measure directly represents the indication construct.,lipids,apolipoprotein_b,"CSA,EUR",CSA,True,REVIEW,,,SENSITIVITY,Direct quantitative readout,Retained only for prespecified sensitivity analysis.,map_505723e622d14ef9
D006937,Hypercholesterolemia,Hypercholesterolemia,14,14,3,11,Pan-UKB,Pan-UKB::biomarkers|30690|both_sexes||irnt,Cholesterol,biomarkers|30690|both_sexes||irnt,GRCh37,Direct quantitative readout,Circulating lipid measure directly represents the indication construct.,lipids,total_cholesterol,"CSA,EUR",CSA,True,REVIEW,,,SENSITIVITY,Direct quantitative readout,Retained only for prespecified sensitivity analysis.,map_53025b2483451588
D006937,Hypercholesterolemia,Hypercholesterolemia,14,14,3,11,Pan-UKB,Pan-UKB::biomarkers|30780|both_sexes||irnt,LDL direct,biomarkers|30780|both_sexes||irnt,GRCh37,Direct quantitative readout,Circulating lipid measure directly represents the indication construct.,lipids,ldl_cholesterol,"CSA,EUR",CSA,True,REVIEW,,,PRIMARY,Direct quantitative readout,Locked as the single primary representation of this indication.,map_50cd2496568d9c63
D015228,Hypertriglyceridemia,Hypertriglyceridemia,14,14,3,11,Pan-UKB,Pan-UKB::biomarkers|30870|both_sexes||irnt,Triglycerides,biomarkers|30870|both_sexes||irnt,GRCh37,Direct quantitative readout,Triglyceride concentration directly represents hypertriglyceridemia.,lipids,triglycerides,"AFR,CSA,EUR,MID","AFR,CSA,MID",True,REVIEW,,,PRIMARY,Direct quantitative readout,Locked as the single primary representation of this indication.,map_e34c5f2ec9867915
D003920,Diabetes Mellitus,Diabetes Mellitus,13,13,2,11,Pan-UKB,Pan-UKB::biomarkers|30750|both_sexes||irnt,Glycated haemoglobin (HbA1c),biomarkers|30750|both_sexes||irnt,GRCh37,Direct quantitative readout,HbA1c is a standard quantitative measure of chronic glycemia.,glycemia,hba1c,"CSA,EUR,MID","CSA,MID",True,REVIEW,,,PRIMARY,Direct quantitative readout,Locked as the single primary representation of this indication.,map_0c8c975606285aeb
D003876,"Dermatitis, Atopic","Dermatitis, Atopic",12,12,2,10,Pan-UKB,Pan-UKB::continuous|30150|both_sexes||irnt,Eosinophill count,continuous|30150|both_sexes||irnt,GRCh37,Proxy biomarker,Eosinophil count is an allergic-inflammatory biomarker rather than the disease endpoint.,hematology_allergy,eosinophil_count,"CSA,EUR",CSA,True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_5870426bd34a44e7
D011565,Psoriasis,Psoriasis,12,12,3,9,Pan-UKB,Pan-UKB::biomarkers|30710|both_sexes||irnt,C-reactive protein,biomarkers|30710|both_sexes||irnt,GRCh37,Proxy biomarker,CRP is a nonspecific inflammatory biomarker and does not represent the disease endpoint.,inflammation,c_reactive_protein,"CSA,EUR",CSA,True,REVIEW,,,REJECT,Proxy biomarker,CRP is too nonspecific to represent this disease indication.,map_4622f64ab4d34b48
D000740,Anemia,Anemia,11,11,4,7,Pan-UKB,Pan-UKB::continuous|30030|both_sexes||irnt,Haematocrit percentage,continuous|30030|both_sexes||irnt,GRCh37,Direct quantitative readout,Standard red-cell measures characterize anemia and major subtypes.,hematology,haematocrit,"CSA,EUR",CSA,True,REVIEW,,,SENSITIVITY,Direct quantitative readout,Retained only for prespecified sensitivity analysis.,map_97b816746f065ca0
D000740,Anemia,Anemia,11,11,4,7,Pan-UKB,Pan-UKB::continuous|30020|both_sexes||irnt,Haemoglobin concentration,continuous|30020|both_sexes||irnt,GRCh37,Direct quantitative readout,Standard red-cell measures characterize anemia and major subtypes.,hematology,haemoglobin,"CSA,EUR",CSA,True,REVIEW,,,PRIMARY,Direct quantitative readout,Locked as the single primary representation of this indication.,map_e6f7fc7e1a195345
D000740,Anemia,Anemia,11,11,4,7,Pan-UKB,Pan-UKB::continuous|30040|both_sexes||irnt,Mean corpuscular volume,continuous|30040|both_sexes||irnt,GRCh37,Direct quantitative readout,Standard red-cell measures characterize anemia and major subtypes.,hematology,mean_corpuscular_volume,"CSA,EUR",CSA,True,REVIEW,,,SENSITIVITY,Direct quantitative readout,Retained only for prespecified sensitivity analysis.,map_69f44c24155f039a
D001327,Autoimmune Diseases,Autoimmune Diseases,10,10,0,10,Pan-UKB,Pan-UKB::biomarkers|30710|both_sexes||irnt,C-reactive protein,biomarkers|30710|both_sexes||irnt,GRCh37,Proxy biomarker,CRP is a nonspecific inflammatory biomarker and does not represent the disease endpoint.,inflammation,c_reactive_protein,"CSA,EUR",CSA,True,REVIEW,,,REJECT,Proxy biomarker,CRP is too nonspecific to represent this disease indication.,map_50ca9096d3ba259e
D008180,"Lupus Erythematosus, Systemic","Lupus Erythematosus, Systemic",10,10,0,10,Pan-UKB,Pan-UKB::biomarkers|30710|both_sexes||irnt,C-reactive protein,biomarkers|30710|both_sexes||irnt,GRCh37,Proxy biomarker,CRP is a nonspecific inflammatory biomarker and does not represent the disease endpoint.,inflammation,c_reactive_protein,"CSA,EUR",CSA,True,REVIEW,,,REJECT,Proxy biomarker,CRP is too nonspecific to represent this disease indication.,map_d1a60aa57181f93a
D013921,Thrombocytopenia,Thrombocytopenia,10,10,4,6,Pan-UKB,Pan-UKB::continuous|30080|both_sexes||irnt,Platelet count,continuous|30080|both_sexes||irnt,GRCh37,Direct quantitative readout,Platelet count directly represents the indication.,hematology,platelet_count,"AFR,CSA,EAS,EUR","AFR,CSA,EAS",True,REVIEW,,,PRIMARY,Direct quantitative readout,Locked as the single primary representation of this indication.,map_9fca929f0496a5a9
D013922,Thrombocytosis,Thrombocytosis,10,10,2,8,Pan-UKB,Pan-UKB::continuous|30080|both_sexes||irnt,Platelet count,continuous|30080|both_sexes||irnt,GRCh37,Direct quantitative readout,Platelet count directly represents the indication.,hematology,platelet_count,"AFR,CSA,EAS,EUR","AFR,CSA,EAS",True,REVIEW,,,PRIMARY,Direct quantitative readout,Locked as the single primary representation of this indication.,map_0d3ac6c3d9993bb6
D015212,Inflammatory Bowel Diseases,Inflammatory Bowel Diseases,9,9,0,9,Pan-UKB,Pan-UKB::biomarkers|30710|both_sexes||irnt,C-reactive protein,biomarkers|30710|both_sexes||irnt,GRCh37,Proxy biomarker,CRP is a nonspecific inflammatory biomarker and does not represent the disease endpoint.,inflammation,c_reactive_protein,"CSA,EUR",CSA,True,REVIEW,,,REJECT,Proxy biomarker,CRP is too nonspecific to represent this disease indication.,map_2049743a91d7c865
D065631,"Rhinitis, Allergic","Rhinitis, Allergic",9,9,1,8,Pan-UKB,Pan-UKB::continuous|30150|both_sexes||irnt,Eosinophill count,continuous|30150|both_sexes||irnt,GRCh37,Proxy biomarker,Eosinophil count is an allergic-inflammatory biomarker rather than the disease endpoint.,hematology_allergy,eosinophil_count,"CSA,EUR",CSA,True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_fef4e0642fc76154
D006938,Hyperlipoproteinemia Type II,Hyperlipoproteinemia Type II,8,8,3,5,Pan-UKB,Pan-UKB::biomarkers|30640|both_sexes||irnt,Apolipoprotein B,biomarkers|30640|both_sexes||irnt,GRCh37,Direct quantitative readout,Circulating lipid measure directly represents the indication construct.,lipids,apolipoprotein_b,"CSA,EUR",CSA,True,REVIEW,,,SENSITIVITY,Direct quantitative readout,Retained only for prespecified sensitivity analysis.,map_cfd704321ca3eaef
D006938,Hyperlipoproteinemia Type II,Hyperlipoproteinemia Type II,8,8,3,5,Pan-UKB,Pan-UKB::biomarkers|30690|both_sexes||irnt,Cholesterol,biomarkers|30690|both_sexes||irnt,GRCh37,Direct quantitative readout,Circulating lipid measure directly represents the indication construct.,lipids,total_cholesterol,"CSA,EUR",CSA,True,REVIEW,,,SENSITIVITY,Direct quantitative readout,Retained only for prespecified sensitivity analysis.,map_20c7523ee78dfeaf
D006938,Hyperlipoproteinemia Type II,Hyperlipoproteinemia Type II,8,8,3,5,Pan-UKB,Pan-UKB::biomarkers|30780|both_sexes||irnt,LDL direct,biomarkers|30780|both_sexes||irnt,GRCh37,Direct quantitative readout,Circulating lipid measure directly represents the indication construct.,lipids,ldl_cholesterol,"CSA,EUR",CSA,True,REVIEW,,,PRIMARY,Direct quantitative readout,Locked as the single primary representation of this indication.,map_e773da18247036fb
D050171,Dyslipidemias,Dyslipidemias,5,5,3,2,Pan-UKB,Pan-UKB::biomarkers|30640|both_sexes||irnt,Apolipoprotein B,biomarkers|30640|both_sexes||irnt,GRCh37,Direct quantitative readout,Circulating lipid measure directly represents the indication construct.,lipids,apolipoprotein_b,"CSA,EUR",CSA,True,REVIEW,,,SENSITIVITY,Direct quantitative readout,Retained only for prespecified sensitivity analysis.,map_6d9fe13af554c236
D050171,Dyslipidemias,Dyslipidemias,5,5,3,2,Pan-UKB,Pan-UKB::biomarkers|30690|both_sexes||irnt,Cholesterol,biomarkers|30690|both_sexes||irnt,GRCh37,Direct quantitative readout,Circulating lipid measure directly represents the indication construct.,lipids,total_cholesterol,"CSA,EUR",CSA,True,REVIEW,,,SENSITIVITY,Direct quantitative readout,Retained only for prespecified sensitivity analysis.,map_a36004652f6c76ab
D050171,Dyslipidemias,Dyslipidemias,5,5,3,2,Pan-UKB,Pan-UKB::biomarkers|30780|both_sexes||irnt,LDL direct,biomarkers|30780|both_sexes||irnt,GRCh37,Direct quantitative readout,Circulating lipid measure directly represents the indication construct.,lipids,ldl_cholesterol,"CSA,EUR",CSA,True,REVIEW,,,PRIMARY,Direct quantitative readout,Locked as the single primary representation of this indication.,map_32cf8d557f57383c
D051437,Renal Insufficiency,Renal Insufficiency,5,5,0,5,Pan-UKB,Pan-UKB::biomarkers|30700|both_sexes||irnt,Creatinine,biomarkers|30700|both_sexes||irnt,GRCh37,Proxy biomarker,eGFR and renal filtration biomarkers measure kidney function but are not the disease endpoint.,renal,serum_creatinine,"CSA,EUR,MID","CSA,MID",True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_41141be048611074
D051437,Renal Insufficiency,Renal Insufficiency,5,5,0,5,Pan-UKB,Pan-UKB::biomarkers|30720|both_sexes||irnt,Cystatin C,biomarkers|30720|both_sexes||irnt,GRCh37,Proxy biomarker,eGFR and renal filtration biomarkers measure kidney function but are not the disease endpoint.,renal,cystatin_c,"CSA,EUR,MID","CSA,MID",True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_f1dd1f3e7799acd4
D051437,Renal Insufficiency,Renal Insufficiency,5,5,0,5,Pan-UKB,Pan-UKB::continuous|eGFRcreacys|both_sexes||irnt,"Estimated glomerular filtration rate, cystain C",continuous|eGFRcreacys|both_sexes||irnt,GRCh37,Proxy biomarker,eGFR and renal filtration biomarkers measure kidney function but are not the disease endpoint.,renal,egfr_cystatin_c,"CSA,EUR",CSA,True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_60a0dd903780e9d1
D051437,Renal Insufficiency,Renal Insufficiency,5,5,0,5,Pan-UKB,Pan-UKB::continuous|eGFR|both_sexes||irnt,"Estimated glomerular filtration rate, serum creatinine",continuous|eGFR|both_sexes||irnt,GRCh37,Proxy biomarker,eGFR and renal filtration biomarkers measure kidney function but are not the disease endpoint.,renal,egfr_creatinine,"CSA,EUR,MID","CSA,MID",True,REVIEW,,,PRIMARY,Proxy biomarker,Locked as the single primary representation of this indication.,map_75832887e4c759b7
D051437,Renal Insufficiency,Renal Insufficiency,5,5,0,5,Pan-UKB,Pan-UKB::continuous|eGFRcys|both_sexes||irnt,"Estimated glomerular filtration rate, serum creatinine + cystain C",continuous|eGFRcys|both_sexes||irnt,GRCh37,Proxy biomarker,eGFR and renal filtration biomarkers measure kidney function but are not the disease endpoint.,renal,egfr_creatinine_cystatin_c,"CSA,EUR",CSA,True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_595de43d458884cd
D003922,"Diabetes Mellitus, Type 1","Diabetes Mellitus, Type 1",4,4,0,4,Pan-UKB,Pan-UKB::biomarkers|30750|both_sexes||irnt,Glycated haemoglobin (HbA1c),biomarkers|30750|both_sexes||irnt,GRCh37,Direct quantitative readout,HbA1c is a standard quantitative measure of chronic glycemia.,glycemia,hba1c,"CSA,EUR,MID","CSA,MID",True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_b5a360540448779a
D009503,Neutropenia,Neutropenia,4,4,2,2,Pan-UKB,Pan-UKB::continuous|30140|both_sexes||irnt,Neutrophill count,continuous|30140|both_sexes||irnt,GRCh37,Direct quantitative readout,Neutrophil count directly represents the indication.,hematology,neutrophil_count,"CSA,EUR,MID","CSA,MID",True,REVIEW,,,PRIMARY,Direct quantitative readout,Locked as the single primary representation of this indication.,map_8b53a7b4081fa0ab
D020246,Venous Thrombosis,Venous Thrombosis,4,4,2,2,GBMI,GBMI::VTE,Venous thromboembolism,VTE,GRCh38,Direct disease,The GBMI endpoint is an exact or clinically equivalent disease endpoint.,direct_disease,VTE,"AFR,AMR,EAS,EUR","AFR,AMR,EAS",True,REVIEW,,,PRIMARY,Direct disease,Locked as the single primary representation of this indication.,map_ec3d332f75944823
D005923,"Glomerulosclerosis, Focal Segmental","Glomerulosclerosis, Focal Segmental",3,3,0,3,Pan-UKB,Pan-UKB::biomarkers|30700|both_sexes||irnt,Creatinine,biomarkers|30700|both_sexes||irnt,GRCh37,Proxy biomarker,eGFR and renal filtration biomarkers measure kidney function but are not the disease endpoint.,renal,serum_creatinine,"CSA,EUR,MID","CSA,MID",True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_1528a1dc096b9a36
D005923,"Glomerulosclerosis, Focal Segmental","Glomerulosclerosis, Focal Segmental",3,3,0,3,Pan-UKB,Pan-UKB::biomarkers|30720|both_sexes||irnt,Cystatin C,biomarkers|30720|both_sexes||irnt,GRCh37,Proxy biomarker,eGFR and renal filtration biomarkers measure kidney function but are not the disease endpoint.,renal,cystatin_c,"CSA,EUR,MID","CSA,MID",True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_039454a9bb2903dd
D005923,"Glomerulosclerosis, Focal Segmental","Glomerulosclerosis, Focal Segmental",3,3,0,3,Pan-UKB,Pan-UKB::continuous|eGFRcreacys|both_sexes||irnt,"Estimated glomerular filtration rate, cystain C",continuous|eGFRcreacys|both_sexes||irnt,GRCh37,Proxy biomarker,eGFR and renal filtration biomarkers measure kidney function but are not the disease endpoint.,renal,egfr_cystatin_c,"CSA,EUR",CSA,True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_a4cf271bf01d2d4b
D005923,"Glomerulosclerosis, Focal Segmental","Glomerulosclerosis, Focal Segmental",3,3,0,3,Pan-UKB,Pan-UKB::continuous|eGFR|both_sexes||irnt,"Estimated glomerular filtration rate, serum creatinine",continuous|eGFR|both_sexes||irnt,GRCh37,Proxy biomarker,eGFR and renal filtration biomarkers measure kidney function but are not the disease endpoint.,renal,egfr_creatinine,"CSA,EUR,MID","CSA,MID",True,REVIEW,,,PRIMARY,Proxy biomarker,Locked as the single primary representation of this indication.,map_38adf62f96fee1d4
D005923,"Glomerulosclerosis, Focal Segmental","Glomerulosclerosis, Focal Segmental",3,3,0,3,Pan-UKB,Pan-UKB::continuous|eGFRcys|both_sexes||irnt,"Estimated glomerular filtration rate, serum creatinine + cystain C",continuous|eGFRcys|both_sexes||irnt,GRCh37,Proxy biomarker,eGFR and renal filtration biomarkers measure kidney function but are not the disease endpoint.,renal,egfr_creatinine_cystatin_c,"CSA,EUR",CSA,True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_b636365ec4af96d0
D008107,Liver Diseases,Liver Diseases,3,3,0,3,Pan-UKB,Pan-UKB::biomarkers|30620|both_sexes||irnt,Alanine aminotransferase,biomarkers|30620|both_sexes||irnt,GRCh37,Proxy biomarker,Liver enzymes and albumin measure hepatic injury or function rather than a specific liver diagnosis.,hepatic,alanine_aminotransferase,"AFR,CSA,EUR","AFR,CSA",True,REVIEW,,,REJECT,Proxy biomarker,Broad indication; available liver markers cannot identify a specific disease process.,map_acaae942f63f61cb
D008107,Liver Diseases,Liver Diseases,3,3,0,3,Pan-UKB,Pan-UKB::biomarkers|30600|both_sexes||irnt,Albumin,biomarkers|30600|both_sexes||irnt,GRCh37,Proxy biomarker,Liver enzymes and albumin measure hepatic injury or function rather than a specific liver diagnosis.,hepatic,albumin,"AFR,CSA,EUR","AFR,CSA",True,REVIEW,,,REJECT,Proxy biomarker,Broad indication; available liver markers cannot identify a specific disease process.,map_3e48eb51cc21a700
D008107,Liver Diseases,Liver Diseases,3,3,0,3,Pan-UKB,Pan-UKB::biomarkers|30610|both_sexes||irnt,Alkaline phosphatase,biomarkers|30610|both_sexes||irnt,GRCh37,Proxy biomarker,Liver enzymes and albumin measure hepatic injury or function rather than a specific liver diagnosis.,hepatic_bone,alkaline_phosphatase,"CSA,EUR,MID","CSA,MID",True,REVIEW,,,REJECT,Proxy biomarker,Broad indication; available liver markers cannot identify a specific disease process.,map_140cb98f2653b914
D008107,Liver Diseases,Liver Diseases,3,3,0,3,Pan-UKB,Pan-UKB::biomarkers|30730|both_sexes||irnt,Gamma glutamyltransferase,biomarkers|30730|both_sexes||irnt,GRCh37,Proxy biomarker,Liver enzymes and albumin measure hepatic injury or function rather than a specific liver diagnosis.,hepatic,gamma_glutamyltransferase,"CSA,EAS,EUR","CSA,EAS",True,REVIEW,,,REJECT,Proxy biomarker,Broad indication; available liver markers cannot identify a specific disease process.,map_7f8072447058e1a6
D010024,Osteoporosis,Osteoporosis,3,3,1,2,Pan-UKB,Pan-UKB::continuous|3148|both_sexes||irnt,Heel bone mineral density (BMD),continuous|3148|both_sexes||irnt,GRCh37,Direct quantitative readout,Bone mineral density is the defining quantitative measure.,bone,heel_bone_mineral_density,"CSA,EUR",CSA,True,REVIEW,,,PRIMARY,Direct quantitative readout,Locked as the single primary representation of this indication.,map_12f03918e0d13cd5
D020521,Stroke,Stroke,3,3,0,3,GBMI,GBMI::Stroke,Stroke,Stroke,GRCh38,Direct disease,The GBMI endpoint is an exact or clinically equivalent disease endpoint.,direct_disease,Stroke,"AFR,AMR,EAS,EUR","AFR,AMR,EAS",True,REVIEW,,,PRIMARY,Direct disease,Locked as the single primary representation of this indication.,map_7b641e2a7a1f97d7
