indication_mesh_id,indication_mesh_term,mesh2026_preferred_term,n_pairs,n_genes,n_A,n_B,candidate_source,candidate_trait_key,candidate_trait_name,phenotype_id,genome_build,mapping_tier,mapping_rationale,clinical_domain,canonical_group,pops_available,non_eur_pops_available,source_verified,candidate_status,reviewer_decision,reviewer_notes,analysis_role,locked_mapping_tier,locking_reason,mapping_uid
D009765,Obesity,Obesity,31,31,4,27,Pan-UKB,Pan-UKB::continuous|48|both_sexes||irnt,Waist circumference,continuous|48|both_sexes||irnt,GRCh37,Direct quantitative readout,BMI and waist circumference directly measure adiposity.,anthropometry,waist_circumference,"AFR,CSA,EUR,MID","AFR,CSA,MID",True,REVIEW,,,SENSITIVITY,Direct quantitative readout,Retained only for prespecified sensitivity analysis.,map_89b2b7c6b871d268
D003876,"Dermatitis, Atopic","Dermatitis, Atopic",12,12,2,10,Pan-UKB,Pan-UKB::continuous|30150|both_sexes||irnt,Eosinophill count,continuous|30150|both_sexes||irnt,GRCh37,Proxy biomarker,Eosinophil count is an allergic-inflammatory biomarker rather than the disease endpoint.,hematology_allergy,eosinophil_count,"CSA,EUR",CSA,True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_5870426bd34a44e7
D000740,Anemia,Anemia,11,11,4,7,Pan-UKB,Pan-UKB::continuous|30030|both_sexes||irnt,Haematocrit percentage,continuous|30030|both_sexes||irnt,GRCh37,Direct quantitative readout,Standard red-cell measures characterize anemia and major subtypes.,hematology,haematocrit,"CSA,EUR",CSA,True,REVIEW,,,SENSITIVITY,Direct quantitative readout,Retained only for prespecified sensitivity analysis.,map_97b816746f065ca0
D000740,Anemia,Anemia,11,11,4,7,Pan-UKB,Pan-UKB::continuous|30040|both_sexes||irnt,Mean corpuscular volume,continuous|30040|both_sexes||irnt,GRCh37,Direct quantitative readout,Standard red-cell measures characterize anemia and major subtypes.,hematology,mean_corpuscular_volume,"CSA,EUR",CSA,True,REVIEW,,,SENSITIVITY,Direct quantitative readout,Retained only for prespecified sensitivity analysis.,map_69f44c24155f039a
D065631,"Rhinitis, Allergic","Rhinitis, Allergic",9,9,1,8,Pan-UKB,Pan-UKB::continuous|30150|both_sexes||irnt,Eosinophill count,continuous|30150|both_sexes||irnt,GRCh37,Proxy biomarker,Eosinophil count is an allergic-inflammatory biomarker rather than the disease endpoint.,hematology_allergy,eosinophil_count,"CSA,EUR",CSA,True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_fef4e0642fc76154
D006938,Hyperlipoproteinemia Type II,Hyperlipoproteinemia Type II,8,8,3,5,Pan-UKB,Pan-UKB::biomarkers|30640|both_sexes||irnt,Apolipoprotein B,biomarkers|30640|both_sexes||irnt,GRCh37,Direct quantitative readout,Circulating lipid measure directly represents the indication construct.,lipids,apolipoprotein_b,"CSA,EUR",CSA,True,REVIEW,,,SENSITIVITY,Direct quantitative readout,Retained only for prespecified sensitivity analysis.,map_cfd704321ca3eaef
D006938,Hyperlipoproteinemia Type II,Hyperlipoproteinemia Type II,8,8,3,5,Pan-UKB,Pan-UKB::biomarkers|30690|both_sexes||irnt,Cholesterol,biomarkers|30690|both_sexes||irnt,GRCh37,Direct quantitative readout,Circulating lipid measure directly represents the indication construct.,lipids,total_cholesterol,"CSA,EUR",CSA,True,REVIEW,,,SENSITIVITY,Direct quantitative readout,Retained only for prespecified sensitivity analysis.,map_20c7523ee78dfeaf
D050171,Dyslipidemias,Dyslipidemias,5,5,3,2,Pan-UKB,Pan-UKB::biomarkers|30640|both_sexes||irnt,Apolipoprotein B,biomarkers|30640|both_sexes||irnt,GRCh37,Direct quantitative readout,Circulating lipid measure directly represents the indication construct.,lipids,apolipoprotein_b,"CSA,EUR",CSA,True,REVIEW,,,SENSITIVITY,Direct quantitative readout,Retained only for prespecified sensitivity analysis.,map_6d9fe13af554c236
D050171,Dyslipidemias,Dyslipidemias,5,5,3,2,Pan-UKB,Pan-UKB::biomarkers|30690|both_sexes||irnt,Cholesterol,biomarkers|30690|both_sexes||irnt,GRCh37,Direct quantitative readout,Circulating lipid measure directly represents the indication construct.,lipids,total_cholesterol,"CSA,EUR",CSA,True,REVIEW,,,SENSITIVITY,Direct quantitative readout,Retained only for prespecified sensitivity analysis.,map_a36004652f6c76ab
D051437,Renal Insufficiency,Renal Insufficiency,5,5,0,5,Pan-UKB,Pan-UKB::biomarkers|30700|both_sexes||irnt,Creatinine,biomarkers|30700|both_sexes||irnt,GRCh37,Proxy biomarker,eGFR and renal filtration biomarkers measure kidney function but are not the disease endpoint.,renal,serum_creatinine,"CSA,EUR,MID","CSA,MID",True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_41141be048611074
D051437,Renal Insufficiency,Renal Insufficiency,5,5,0,5,Pan-UKB,Pan-UKB::biomarkers|30720|both_sexes||irnt,Cystatin C,biomarkers|30720|both_sexes||irnt,GRCh37,Proxy biomarker,eGFR and renal filtration biomarkers measure kidney function but are not the disease endpoint.,renal,cystatin_c,"CSA,EUR,MID","CSA,MID",True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_f1dd1f3e7799acd4
D051437,Renal Insufficiency,Renal Insufficiency,5,5,0,5,Pan-UKB,Pan-UKB::continuous|eGFRcreacys|both_sexes||irnt,"Estimated glomerular filtration rate, cystain C",continuous|eGFRcreacys|both_sexes||irnt,GRCh37,Proxy biomarker,eGFR and renal filtration biomarkers measure kidney function but are not the disease endpoint.,renal,egfr_cystatin_c,"CSA,EUR",CSA,True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_60a0dd903780e9d1
D051437,Renal Insufficiency,Renal Insufficiency,5,5,0,5,Pan-UKB,Pan-UKB::continuous|eGFRcys|both_sexes||irnt,"Estimated glomerular filtration rate, serum creatinine + cystain C",continuous|eGFRcys|both_sexes||irnt,GRCh37,Proxy biomarker,eGFR and renal filtration biomarkers measure kidney function but are not the disease endpoint.,renal,egfr_creatinine_cystatin_c,"CSA,EUR",CSA,True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_595de43d458884cd
D003922,"Diabetes Mellitus, Type 1","Diabetes Mellitus, Type 1",4,4,0,4,Pan-UKB,Pan-UKB::biomarkers|30750|both_sexes||irnt,Glycated haemoglobin (HbA1c),biomarkers|30750|both_sexes||irnt,GRCh37,Direct quantitative readout,HbA1c is a standard quantitative measure of chronic glycemia.,glycemia,hba1c,"CSA,EUR,MID","CSA,MID",True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_b5a360540448779a
D005923,"Glomerulosclerosis, Focal Segmental","Glomerulosclerosis, Focal Segmental",3,3,0,3,Pan-UKB,Pan-UKB::biomarkers|30700|both_sexes||irnt,Creatinine,biomarkers|30700|both_sexes||irnt,GRCh37,Proxy biomarker,eGFR and renal filtration biomarkers measure kidney function but are not the disease endpoint.,renal,serum_creatinine,"CSA,EUR,MID","CSA,MID",True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_1528a1dc096b9a36
D005923,"Glomerulosclerosis, Focal Segmental","Glomerulosclerosis, Focal Segmental",3,3,0,3,Pan-UKB,Pan-UKB::biomarkers|30720|both_sexes||irnt,Cystatin C,biomarkers|30720|both_sexes||irnt,GRCh37,Proxy biomarker,eGFR and renal filtration biomarkers measure kidney function but are not the disease endpoint.,renal,cystatin_c,"CSA,EUR,MID","CSA,MID",True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_039454a9bb2903dd
D005923,"Glomerulosclerosis, Focal Segmental","Glomerulosclerosis, Focal Segmental",3,3,0,3,Pan-UKB,Pan-UKB::continuous|eGFRcreacys|both_sexes||irnt,"Estimated glomerular filtration rate, cystain C",continuous|eGFRcreacys|both_sexes||irnt,GRCh37,Proxy biomarker,eGFR and renal filtration biomarkers measure kidney function but are not the disease endpoint.,renal,egfr_cystatin_c,"CSA,EUR",CSA,True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_a4cf271bf01d2d4b
D005923,"Glomerulosclerosis, Focal Segmental","Glomerulosclerosis, Focal Segmental",3,3,0,3,Pan-UKB,Pan-UKB::continuous|eGFRcys|both_sexes||irnt,"Estimated glomerular filtration rate, serum creatinine + cystain C",continuous|eGFRcys|both_sexes||irnt,GRCh37,Proxy biomarker,eGFR and renal filtration biomarkers measure kidney function but are not the disease endpoint.,renal,egfr_creatinine_cystatin_c,"CSA,EUR",CSA,True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_b636365ec4af96d0
D000755,"Anemia, Sickle Cell","Anemia, Sickle Cell",2,2,0,2,Pan-UKB,Pan-UKB::continuous|30030|both_sexes||irnt,Haematocrit percentage,continuous|30030|both_sexes||irnt,GRCh37,Direct quantitative readout,Standard red-cell measures characterize anemia and major subtypes.,hematology,haematocrit,"CSA,EUR",CSA,True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_e62e8686e808e1de
D000755,"Anemia, Sickle Cell","Anemia, Sickle Cell",2,2,0,2,Pan-UKB,Pan-UKB::continuous|30020|both_sexes||irnt,Haemoglobin concentration,continuous|30020|both_sexes||irnt,GRCh37,Direct quantitative readout,Standard red-cell measures characterize anemia and major subtypes.,hematology,haemoglobin,"CSA,EUR",CSA,True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_a5dde82e629cdd69
D000755,"Anemia, Sickle Cell","Anemia, Sickle Cell",2,2,0,2,Pan-UKB,Pan-UKB::continuous|30040|both_sexes||irnt,Mean corpuscular volume,continuous|30040|both_sexes||irnt,GRCh37,Direct quantitative readout,Standard red-cell measures characterize anemia and major subtypes.,hematology,mean_corpuscular_volume,"CSA,EUR",CSA,True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_f6136af0565dc93f
D005922,"Glomerulonephritis, IGA","Glomerulonephritis, IGA",2,2,0,2,Pan-UKB,Pan-UKB::biomarkers|30700|both_sexes||irnt,Creatinine,biomarkers|30700|both_sexes||irnt,GRCh37,Proxy biomarker,eGFR and renal filtration biomarkers measure kidney function but are not the disease endpoint.,renal,serum_creatinine,"CSA,EUR,MID","CSA,MID",True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_4bff57d6c1e71213
D005922,"Glomerulonephritis, IGA","Glomerulonephritis, IGA",2,2,0,2,Pan-UKB,Pan-UKB::biomarkers|30720|both_sexes||irnt,Cystatin C,biomarkers|30720|both_sexes||irnt,GRCh37,Proxy biomarker,eGFR and renal filtration biomarkers measure kidney function but are not the disease endpoint.,renal,cystatin_c,"CSA,EUR,MID","CSA,MID",True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_a8c38ba818e38365
D005922,"Glomerulonephritis, IGA","Glomerulonephritis, IGA",2,2,0,2,Pan-UKB,Pan-UKB::continuous|eGFRcreacys|both_sexes||irnt,"Estimated glomerular filtration rate, cystain C",continuous|eGFRcreacys|both_sexes||irnt,GRCh37,Proxy biomarker,eGFR and renal filtration biomarkers measure kidney function but are not the disease endpoint.,renal,egfr_cystatin_c,"CSA,EUR",CSA,True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_988bfdeb00c80053
D005922,"Glomerulonephritis, IGA","Glomerulonephritis, IGA",2,2,0,2,Pan-UKB,Pan-UKB::continuous|eGFRcys|both_sexes||irnt,"Estimated glomerular filtration rate, serum creatinine + cystain C",continuous|eGFRcys|both_sexes||irnt,GRCh37,Proxy biomarker,eGFR and renal filtration biomarkers measure kidney function but are not the disease endpoint.,renal,egfr_creatinine_cystatin_c,"CSA,EUR",CSA,True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_b769d2557192a963
D006255,"Rhinitis, Allergic, Seasonal","Rhinitis, Allergic, Seasonal",2,2,0,2,Pan-UKB,Pan-UKB::continuous|30150|both_sexes||irnt,Eosinophill count,continuous|30150|both_sexes||irnt,GRCh37,Proxy biomarker,Eosinophil count is an allergic-inflammatory biomarker rather than the disease endpoint.,hematology_allergy,eosinophil_count,"CSA,EUR",CSA,True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_68fe0b2b5bd7b2d4
D003928,Diabetic Nephropathies,Diabetic Nephropathies,1,1,0,1,Pan-UKB,Pan-UKB::biomarkers|30700|both_sexes||irnt,Creatinine,biomarkers|30700|both_sexes||irnt,GRCh37,Proxy biomarker,eGFR and renal filtration biomarkers measure kidney function but are not the disease endpoint.,renal,serum_creatinine,"CSA,EUR,MID","CSA,MID",True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_5a173a0626cfd370
D003928,Diabetic Nephropathies,Diabetic Nephropathies,1,1,0,1,Pan-UKB,Pan-UKB::biomarkers|30720|both_sexes||irnt,Cystatin C,biomarkers|30720|both_sexes||irnt,GRCh37,Proxy biomarker,eGFR and renal filtration biomarkers measure kidney function but are not the disease endpoint.,renal,cystatin_c,"CSA,EUR,MID","CSA,MID",True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_2ec37ff17e576812
D003928,Diabetic Nephropathies,Diabetic Nephropathies,1,1,0,1,Pan-UKB,Pan-UKB::continuous|eGFRcreacys|both_sexes||irnt,"Estimated glomerular filtration rate, cystain C",continuous|eGFRcreacys|both_sexes||irnt,GRCh37,Proxy biomarker,eGFR and renal filtration biomarkers measure kidney function but are not the disease endpoint.,renal,egfr_cystatin_c,"CSA,EUR",CSA,True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_237af7c6f0e79465
D003928,Diabetic Nephropathies,Diabetic Nephropathies,1,1,0,1,Pan-UKB,Pan-UKB::continuous|eGFRcys|both_sexes||irnt,"Estimated glomerular filtration rate, serum creatinine + cystain C",continuous|eGFRcys|both_sexes||irnt,GRCh37,Proxy biomarker,eGFR and renal filtration biomarkers measure kidney function but are not the disease endpoint.,renal,egfr_creatinine_cystatin_c,"CSA,EUR",CSA,True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_9eebacb52f0633f9
D008103,Liver Cirrhosis,Liver Cirrhosis,1,1,0,1,Pan-UKB,Pan-UKB::biomarkers|30620|both_sexes||irnt,Alanine aminotransferase,biomarkers|30620|both_sexes||irnt,GRCh37,Proxy biomarker,Liver enzymes and albumin measure hepatic injury or function rather than a specific liver diagnosis.,hepatic,alanine_aminotransferase,"AFR,CSA,EUR","AFR,CSA",True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_f067dbb6f8c37ca3
D008103,Liver Cirrhosis,Liver Cirrhosis,1,1,0,1,Pan-UKB,Pan-UKB::biomarkers|30610|both_sexes||irnt,Alkaline phosphatase,biomarkers|30610|both_sexes||irnt,GRCh37,Proxy biomarker,Liver enzymes and albumin measure hepatic injury or function rather than a specific liver diagnosis.,hepatic_bone,alkaline_phosphatase,"CSA,EUR,MID","CSA,MID",True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_4301372338ca851e
D008103,Liver Cirrhosis,Liver Cirrhosis,1,1,0,1,Pan-UKB,Pan-UKB::biomarkers|30730|both_sexes||irnt,Gamma glutamyltransferase,biomarkers|30730|both_sexes||irnt,GRCh37,Proxy biomarker,Liver enzymes and albumin measure hepatic injury or function rather than a specific liver diagnosis.,hepatic,gamma_glutamyltransferase,"CSA,EAS,EUR","CSA,EAS",True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_902df7f778ec918a
D008105,"Liver Cirrhosis, Biliary","Liver Cirrhosis, Biliary",1,1,0,1,Pan-UKB,Pan-UKB::biomarkers|30620|both_sexes||irnt,Alanine aminotransferase,biomarkers|30620|both_sexes||irnt,GRCh37,Proxy biomarker,Liver enzymes and albumin measure hepatic injury or function rather than a specific liver diagnosis.,hepatic,alanine_aminotransferase,"AFR,CSA,EUR","AFR,CSA",True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_4b6884cf0ea1e824
D008105,"Liver Cirrhosis, Biliary","Liver Cirrhosis, Biliary",1,1,0,1,Pan-UKB,Pan-UKB::biomarkers|30600|both_sexes||irnt,Albumin,biomarkers|30600|both_sexes||irnt,GRCh37,Proxy biomarker,Liver enzymes and albumin measure hepatic injury or function rather than a specific liver diagnosis.,hepatic,albumin,"AFR,CSA,EUR","AFR,CSA",True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_0b9f9d3bae4b9355
D008105,"Liver Cirrhosis, Biliary","Liver Cirrhosis, Biliary",1,1,0,1,Pan-UKB,Pan-UKB::biomarkers|30730|both_sexes||irnt,Gamma glutamyltransferase,biomarkers|30730|both_sexes||irnt,GRCh37,Proxy biomarker,Liver enzymes and albumin measure hepatic injury or function rather than a specific liver diagnosis.,hepatic,gamma_glutamyltransferase,"CSA,EAS,EUR","CSA,EAS",True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_d72d7ea4c45787f6
D065626,Non-alcoholic Fatty Liver Disease,Non-alcoholic Fatty Liver Disease,1,1,0,1,Pan-UKB,Pan-UKB::biomarkers|30730|both_sexes||irnt,Gamma glutamyltransferase,biomarkers|30730|both_sexes||irnt,GRCh37,Proxy biomarker,Liver enzymes and albumin measure hepatic injury or function rather than a specific liver diagnosis.,hepatic,gamma_glutamyltransferase,"CSA,EAS,EUR","CSA,EAS",True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_685d9805d9aa2d85
D011087,Polycythemia Vera,Polycythemia Vera,1,1,1,0,Pan-UKB,Pan-UKB::continuous|30020|both_sexes||irnt,Haemoglobin concentration,continuous|30020|both_sexes||irnt,GRCh37,Direct quantitative readout,Red-cell concentration measures directly represent erythrocytosis.,hematology,haemoglobin,"CSA,EUR",CSA,True,REVIEW,,,SENSITIVITY,Direct quantitative readout,Retained only for prespecified sensitivity analysis.,map_e230885214cbbb00
D011087,Polycythemia Vera,Polycythemia Vera,1,1,1,0,Pan-UKB,Pan-UKB::continuous|30010|both_sexes||irnt,Red blood cell (erythrocyte) count,continuous|30010|both_sexes||irnt,GRCh37,Direct quantitative readout,Red-cell concentration measures directly represent erythrocytosis.,hematology,red_blood_cell_count,"CSA,EUR,MID","CSA,MID",True,REVIEW,,,SENSITIVITY,Direct quantitative readout,Retained only for prespecified sensitivity analysis.,map_a0aa5ed837a48aeb
