indication_mesh_id,indication_mesh_term,mesh2026_preferred_term,n_pairs,n_genes,n_A,n_B,candidate_source,candidate_trait_key,candidate_trait_name,phenotype_id,genome_build,mapping_tier,mapping_rationale,clinical_domain,canonical_group,pops_available,non_eur_pops_available,source_verified,candidate_status,reviewer_decision,reviewer_notes,analysis_role,locked_mapping_tier,locking_reason,mapping_uid
D013921,Thrombocytopenia,Thrombocytopenia,10,10,4,6,Pan-UKB,Pan-UKB::continuous|30080|both_sexes||irnt,Platelet count,continuous|30080|both_sexes||irnt,GRCh37,Direct quantitative readout,Platelet count directly represents the indication.,hematology,platelet_count,"AFR,CSA,EAS,EUR","AFR,CSA,EAS",True,REVIEW,,,PRIMARY,Direct quantitative readout,Locked as the single primary representation of this indication.,map_9fca929f0496a5a9
D013922,Thrombocytosis,Thrombocytosis,10,10,2,8,Pan-UKB,Pan-UKB::continuous|30080|both_sexes||irnt,Platelet count,continuous|30080|both_sexes||irnt,GRCh37,Direct quantitative readout,Platelet count directly represents the indication.,hematology,platelet_count,"AFR,CSA,EAS,EUR","AFR,CSA,EAS",True,REVIEW,,,PRIMARY,Direct quantitative readout,Locked as the single primary representation of this indication.,map_0d3ac6c3d9993bb6
D006938,Hyperlipoproteinemia Type II,Hyperlipoproteinemia Type II,8,8,3,5,Pan-UKB,Pan-UKB::biomarkers|30780|both_sexes||irnt,LDL direct,biomarkers|30780|both_sexes||irnt,GRCh37,Direct quantitative readout,Circulating lipid measure directly represents the indication construct.,lipids,ldl_cholesterol,"CSA,EUR",CSA,True,REVIEW,,,PRIMARY,Direct quantitative readout,Locked as the single primary representation of this indication.,map_e773da18247036fb
D050171,Dyslipidemias,Dyslipidemias,5,5,3,2,Pan-UKB,Pan-UKB::biomarkers|30780|both_sexes||irnt,LDL direct,biomarkers|30780|both_sexes||irnt,GRCh37,Direct quantitative readout,Circulating lipid measure directly represents the indication construct.,lipids,ldl_cholesterol,"CSA,EUR",CSA,True,REVIEW,,,PRIMARY,Direct quantitative readout,Locked as the single primary representation of this indication.,map_32cf8d557f57383c
D051437,Renal Insufficiency,Renal Insufficiency,5,5,0,5,Pan-UKB,Pan-UKB::continuous|eGFR|both_sexes||irnt,"Estimated glomerular filtration rate, serum creatinine",continuous|eGFR|both_sexes||irnt,GRCh37,Proxy biomarker,eGFR and renal filtration biomarkers measure kidney function but are not the disease endpoint.,renal,egfr_creatinine,"CSA,EUR,MID","CSA,MID",True,REVIEW,,,PRIMARY,Proxy biomarker,Locked as the single primary representation of this indication.,map_75832887e4c759b7
D009503,Neutropenia,Neutropenia,4,4,2,2,Pan-UKB,Pan-UKB::continuous|30140|both_sexes||irnt,Neutrophill count,continuous|30140|both_sexes||irnt,GRCh37,Direct quantitative readout,Neutrophil count directly represents the indication.,hematology,neutrophil_count,"CSA,EUR,MID","CSA,MID",True,REVIEW,,,PRIMARY,Direct quantitative readout,Locked as the single primary representation of this indication.,map_8b53a7b4081fa0ab
D020246,Venous Thrombosis,Venous Thrombosis,4,4,2,2,GBMI,GBMI::VTE,Venous thromboembolism,VTE,GRCh38,Direct disease,The GBMI endpoint is an exact or clinically equivalent disease endpoint.,direct_disease,VTE,"AFR,AMR,EAS,EUR","AFR,AMR,EAS",True,REVIEW,,,PRIMARY,Direct disease,Locked as the single primary representation of this indication.,map_ec3d332f75944823
D005923,"Glomerulosclerosis, Focal Segmental","Glomerulosclerosis, Focal Segmental",3,3,0,3,Pan-UKB,Pan-UKB::continuous|eGFR|both_sexes||irnt,"Estimated glomerular filtration rate, serum creatinine",continuous|eGFR|both_sexes||irnt,GRCh37,Proxy biomarker,eGFR and renal filtration biomarkers measure kidney function but are not the disease endpoint.,renal,egfr_creatinine,"CSA,EUR,MID","CSA,MID",True,REVIEW,,,PRIMARY,Proxy biomarker,Locked as the single primary representation of this indication.,map_38adf62f96fee1d4
D010024,Osteoporosis,Osteoporosis,3,3,1,2,Pan-UKB,Pan-UKB::continuous|3148|both_sexes||irnt,Heel bone mineral density (BMD),continuous|3148|both_sexes||irnt,GRCh37,Direct quantitative readout,Bone mineral density is the defining quantitative measure.,bone,heel_bone_mineral_density,"CSA,EUR",CSA,True,REVIEW,,,PRIMARY,Direct quantitative readout,Locked as the single primary representation of this indication.,map_12f03918e0d13cd5
D020521,Stroke,Stroke,3,3,0,3,GBMI,GBMI::Stroke,Stroke,Stroke,GRCh38,Direct disease,The GBMI endpoint is an exact or clinically equivalent disease endpoint.,direct_disease,Stroke,"AFR,AMR,EAS,EUR","AFR,AMR,EAS",True,REVIEW,,,PRIMARY,Direct disease,Locked as the single primary representation of this indication.,map_7b641e2a7a1f97d7
D005922,"Glomerulonephritis, IGA","Glomerulonephritis, IGA",2,2,0,2,Pan-UKB,Pan-UKB::continuous|eGFR|both_sexes||irnt,"Estimated glomerular filtration rate, serum creatinine",continuous|eGFR|both_sexes||irnt,GRCh37,Proxy biomarker,eGFR and renal filtration biomarkers measure kidney function but are not the disease endpoint.,renal,egfr_creatinine,"CSA,EUR,MID","CSA,MID",True,REVIEW,,,PRIMARY,Proxy biomarker,Locked as the single primary representation of this indication.,map_8b0167f355767b4c
D006073,Gout,Gout,2,2,1,1,GBMI,GBMI::Gout,Gout,Gout,GRCh38,Direct disease,The GBMI endpoint is an exact or clinically equivalent disease endpoint.,direct_disease,Gout,"AFR,AMR,EAS,EUR","AFR,AMR,EAS",True,REVIEW,,,PRIMARY,Direct disease,Locked as the single primary representation of this indication.,map_71ba0e23fe68c32e
D003928,Diabetic Nephropathies,Diabetic Nephropathies,1,1,0,1,Pan-UKB,Pan-UKB::continuous|eGFR|both_sexes||irnt,"Estimated glomerular filtration rate, serum creatinine",continuous|eGFR|both_sexes||irnt,GRCh37,Proxy biomarker,eGFR and renal filtration biomarkers measure kidney function but are not the disease endpoint.,renal,egfr_creatinine,"CSA,EUR,MID","CSA,MID",True,REVIEW,,,PRIMARY,Proxy biomarker,Locked as the single primary representation of this indication.,map_b559a03b2194c750
D006333,Heart Failure,Heart Failure,1,1,0,1,GBMI,GBMI::HF,Heart failure,HF,GRCh38,Direct disease,The GBMI endpoint is an exact or clinically equivalent disease endpoint.,direct_disease,HF,"AFR,AMR,EAS,EUR","AFR,AMR,EAS",True,REVIEW,,,PRIMARY,Direct disease,Locked as the single primary representation of this indication.,map_f40814641878ba92
D006934,Hypercalcemia,Hypercalcemia,1,1,1,0,Pan-UKB,Pan-UKB::biomarkers|30680|both_sexes||irnt,Calcium,biomarkers|30680|both_sexes||irnt,GRCh37,Direct quantitative readout,Serum calcium directly represents the indication.,mineral,calcium,"CSA,EUR",CSA,True,REVIEW,,,PRIMARY,Direct quantitative readout,Locked as the single primary representation of this indication.,map_db7b3c370acd17a2
D006996,Hypocalcemia,Hypocalcemia,1,1,0,1,Pan-UKB,Pan-UKB::biomarkers|30680|both_sexes||irnt,Calcium,biomarkers|30680|both_sexes||irnt,GRCh37,Direct quantitative readout,Serum calcium directly represents the indication.,mineral,calcium,"CSA,EUR",CSA,True,REVIEW,,,PRIMARY,Direct quantitative readout,Locked as the single primary representation of this indication.,map_1486c473da98bf83
D017674,Hypophosphatemia,Hypophosphatemia,1,1,0,1,Pan-UKB,Pan-UKB::biomarkers|30810|both_sexes||irnt,Phosphate,biomarkers|30810|both_sexes||irnt,GRCh37,Direct quantitative readout,Serum phosphate directly represents the indication.,mineral,phosphate,"CSA,EUR",CSA,True,REVIEW,,,PRIMARY,Direct quantitative readout,Locked as the single primary representation of this indication.,map_cc39e4e4907a27bd
D007970,Leukopenia,Leukopenia,1,1,1,0,Pan-UKB,Pan-UKB::continuous|30000|both_sexes||irnt,White blood cell (leukocyte) count,continuous|30000|both_sexes||irnt,GRCh37,Direct quantitative readout,White blood cell count directly represents the indication.,hematology,white_blood_cell_count,"CSA,EUR",CSA,True,REVIEW,,,PRIMARY,Direct quantitative readout,Locked as the single primary representation of this indication.,map_2e60e69f7f61359d
D008103,Liver Cirrhosis,Liver Cirrhosis,1,1,0,1,Pan-UKB,Pan-UKB::biomarkers|30600|both_sexes||irnt,Albumin,biomarkers|30600|both_sexes||irnt,GRCh37,Proxy biomarker,Liver enzymes and albumin measure hepatic injury or function rather than a specific liver diagnosis.,hepatic,albumin,"AFR,CSA,EUR","AFR,CSA",True,REVIEW,,,PRIMARY,Proxy biomarker,Locked as the single primary representation of this indication.,map_d804ea212772b9fa
D008105,"Liver Cirrhosis, Biliary","Liver Cirrhosis, Biliary",1,1,0,1,Pan-UKB,Pan-UKB::biomarkers|30610|both_sexes||irnt,Alkaline phosphatase,biomarkers|30610|both_sexes||irnt,GRCh37,Proxy biomarker,Liver enzymes and albumin measure hepatic injury or function rather than a specific liver diagnosis.,hepatic_bone,alkaline_phosphatase,"CSA,EUR,MID","CSA,MID",True,REVIEW,,,PRIMARY,Proxy biomarker,Locked as the single primary representation of this indication.,map_3a1f8d4da4a835e2
D065626,Non-alcoholic Fatty Liver Disease,Non-alcoholic Fatty Liver Disease,1,1,0,1,Pan-UKB,Pan-UKB::biomarkers|30620|both_sexes||irnt,Alanine aminotransferase,biomarkers|30620|both_sexes||irnt,GRCh37,Proxy biomarker,Liver enzymes and albumin measure hepatic injury or function rather than a specific liver diagnosis.,hepatic,alanine_aminotransferase,"AFR,CSA,EUR","AFR,CSA",True,REVIEW,,,PRIMARY,Proxy biomarker,Locked as the single primary representation of this indication.,map_3f38f5939ec50566
D011087,Polycythemia Vera,Polycythemia Vera,1,1,1,0,Pan-UKB,Pan-UKB::continuous|30030|both_sexes||irnt,Haematocrit percentage,continuous|30030|both_sexes||irnt,GRCh37,Direct quantitative readout,Red-cell concentration measures directly represent erythrocytosis.,hematology,haematocrit,"CSA,EUR",CSA,True,REVIEW,,,PRIMARY,Direct quantitative readout,Locked as the single primary representation of this indication.,map_19b3731bad31a1f7
D011655,Pulmonary Embolism,Pulmonary Embolism,1,1,1,0,GBMI,GBMI::VTE,Venous thromboembolism,VTE,GRCh38,Direct disease,The GBMI endpoint is an exact or clinically equivalent disease endpoint.,direct_disease,VTE,"AFR,AMR,EAS,EUR","AFR,AMR,EAS",True,REVIEW,,,PRIMARY,Direct disease,Locked as the single primary representation of this indication.,map_31a87e71c50f515c
