panukb_phenotype_id,trait_type,phenocode,pheno_sex,coding,modifier,description,description_more,coding_description,category,pops,num_pops,pops_pass_qc,num_pops_pass_qc,is_binary,is_quantitative,is_both_sexes,filename,filename_tabix,aws_path,aws_path_tabix,n_cases_AFR,n_cases_AMR,n_cases_CSA,n_cases_EAS,n_cases_EUR,n_cases_MID,n_controls_AFR,n_controls_AMR,n_controls_CSA,n_controls_EAS,n_controls_EUR,n_controls_MID,phenotype_qc_AFR,phenotype_qc_AMR,phenotype_qc_CSA,phenotype_qc_EAS,phenotype_qc_EUR,phenotype_qc_MID
biomarkers|30720|both_sexes||irnt,biomarkers,30720,both_sexes,,irnt,Cystatin C,,,Biological samples > Assay results > Blood assays > Blood biochemistry,"AFR,AMR,CSA,EAS,EUR,MID",6,"CSA,EUR,MID",3,False,True,True,biomarkers-30720-both_sexes-irnt.tsv.bgz,biomarkers-30720-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/biomarkers-30720-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/biomarkers-30720-both_sexes-irnt.tsv.bgz.tbi,6213.0,940.0,8422.0,2573.0,400940.0,1500.0,,,,,,,h2_z_insignificant,n_too_low,PASS,h2_z_insignificant,PASS,PASS
biomarkers|30730|both_sexes||irnt,biomarkers,30730,both_sexes,,irnt,Gamma glutamyltransferase,,,Biological samples > Assay results > Blood assays > Blood biochemistry,"AFR,AMR,CSA,EAS,EUR,MID",6,"CSA,EAS,EUR",3,False,True,True,biomarkers-30730-both_sexes-irnt.tsv.bgz,biomarkers-30730-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/biomarkers-30730-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/biomarkers-30730-both_sexes-irnt.tsv.bgz.tbi,6212.0,938.0,8422.0,2569.0,400751.0,1498.0,,,,,,,h2_z_insignificant,n_too_low,PASS,PASS,PASS,h2_z_insignificant
biomarkers|30750|both_sexes||irnt,biomarkers,30750,both_sexes,,irnt,Glycated haemoglobin (HbA1c),,,Biological samples > Assay results > Blood assays > Blood biochemistry,"AFR,AMR,CSA,EAS,EUR,MID",6,"CSA,EUR,MID",3,False,True,True,biomarkers-30750-both_sexes-irnt.tsv.bgz,biomarkers-30750-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/biomarkers-30750-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/biomarkers-30750-both_sexes-irnt.tsv.bgz.tbi,5290.0,922.0,8329.0,2566.0,400825.0,1502.0,,,,,,,h2_z_insignificant,n_too_low,PASS,h2_z_insignificant,PASS,PASS
biomarkers|30760|both_sexes||irnt,biomarkers,30760,both_sexes,,irnt,HDL cholesterol,,,Biological samples > Assay results > Blood assays > Blood biochemistry,"AFR,AMR,CSA,EAS,EUR,MID",6,"CSA,EUR",2,False,True,True,biomarkers-30760-both_sexes-irnt.tsv.bgz,biomarkers-30760-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/biomarkers-30760-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/biomarkers-30760-both_sexes-irnt.tsv.bgz.tbi,5754.0,854.0,7688.0,2342.0,367021.0,1364.0,,,,,,,h2_z_insignificant,n_too_low,PASS,h2_z_insignificant,PASS,h2_z_insignificant
biomarkers|30770|both_sexes||irnt,biomarkers,30770,both_sexes,,irnt,IGF-1,,,Biological samples > Assay results > Blood assays > Blood biochemistry,"AFR,AMR,CSA,EAS,EUR,MID",6,"CSA,EAS,EUR",3,False,True,True,biomarkers-30770-both_sexes-irnt.tsv.bgz,biomarkers-30770-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/biomarkers-30770-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/biomarkers-30770-both_sexes-irnt.tsv.bgz.tbi,6178.0,934.0,8364.0,2560.0,398797.0,1493.0,,,,,,,h2_z_insignificant,n_too_low,PASS,PASS,PASS,h2_z_insignificant
biomarkers|30780|both_sexes||irnt,biomarkers,30780,both_sexes,,irnt,LDL direct,,,Biological samples > Assay results > Blood assays > Blood biochemistry,"AFR,AMR,CSA,EAS,EUR,MID",6,"CSA,EUR",2,False,True,True,biomarkers-30780-both_sexes-irnt.tsv.bgz,biomarkers-30780-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/biomarkers-30780-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/biomarkers-30780-both_sexes-irnt.tsv.bgz.tbi,6200.0,938.0,8404.0,2568.0,400223.0,1498.0,,,,,,,h2_z_insignificant,n_too_low,PASS,h2_z_insignificant,PASS,h2_z_insignificant
biomarkers|30810|both_sexes||irnt,biomarkers,30810,both_sexes,,irnt,Phosphate,,,Biological samples > Assay results > Blood assays > Blood biochemistry,"AFR,AMR,CSA,EAS,EUR,MID",6,"CSA,EUR",2,False,True,True,biomarkers-30810-both_sexes-irnt.tsv.bgz,biomarkers-30810-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/biomarkers-30810-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/biomarkers-30810-both_sexes-irnt.tsv.bgz.tbi,5750.0,854.0,7685.0,2342.0,366484.0,1360.0,,,,,,,h2_z_insignificant,n_too_low,PASS,h2_z_insignificant,PASS,h2_z_insignificant
biomarkers|30830|both_sexes||irnt,biomarkers,30830,both_sexes,,irnt,SHBG,,,Biological samples > Assay results > Blood assays > Blood biochemistry,"AFR,AMR,CSA,EAS,EUR,MID",6,"CSA,EUR",2,False,True,True,biomarkers-30830-both_sexes-irnt.tsv.bgz,biomarkers-30830-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/biomarkers-30830-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/biomarkers-30830-both_sexes-irnt.tsv.bgz.tbi,5709.0,849.0,7643.0,2327.0,363650.0,1348.0,,,,,,,h2_z_insignificant,n_too_low,PASS,h2_z_insignificant,PASS,h2_z_insignificant
biomarkers|30860|both_sexes||irnt,biomarkers,30860,both_sexes,,irnt,Total protein,,,Biological samples > Assay results > Blood assays > Blood biochemistry,"AFR,AMR,CSA,EAS,EUR,MID",6,"CSA,EUR",2,False,True,True,biomarkers-30860-both_sexes-irnt.tsv.bgz,biomarkers-30860-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/biomarkers-30860-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/biomarkers-30860-both_sexes-irnt.tsv.bgz.tbi,5759.0,856.0,7696.0,2342.0,366758.0,1362.0,,,,,,,h2_z_insignificant,n_too_low,PASS,h2_z_insignificant,PASS,h2_z_insignificant
biomarkers|30870|both_sexes||irnt,biomarkers,30870,both_sexes,,irnt,Triglycerides,,,Biological samples > Assay results > Blood assays > Blood biochemistry,"AFR,AMR,CSA,EAS,EUR,MID",6,"AFR,CSA,EUR,MID",4,False,True,True,biomarkers-30870-both_sexes-irnt.tsv.bgz,biomarkers-30870-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/biomarkers-30870-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/biomarkers-30870-both_sexes-irnt.tsv.bgz.tbi,6211.0,937.0,8415.0,2570.0,400639.0,1499.0,,,,,,,PASS,n_too_low,PASS,h2_z_insignificant,PASS,PASS
biomarkers|30890|both_sexes||irnt,biomarkers,30890,both_sexes,,irnt,Vitamin D,,,Biological samples > Assay results > Blood assays > Blood biochemistry,"AFR,AMR,CSA,EAS,EUR,MID",6,"AFR,CSA,EUR,MID",4,False,True,True,biomarkers-30890-both_sexes-irnt.tsv.bgz,biomarkers-30890-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/biomarkers-30890-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/biomarkers-30890-both_sexes-irnt.tsv.bgz.tbi,6046.0,892.0,7380.0,2484.0,383324.0,1390.0,,,,,,,PASS,n_too_low,PASS,h2_z_insignificant,PASS,PASS
categorical|120|both_sexes|1|,categorical,120,both_sexes,1,,Birth weight known,Birth weight known   This question was dropped from the touchscreen protocol on 24/10/2016.,Yes - pounds and ounces,UK Biobank Assessment Centre > Verbal interview > Early life factors,"AFR,AMR,CSA,EAS,EUR,MID",6,"AFR,CSA,EAS,EUR",4,True,False,True,categorical-120-both_sexes-1.tsv.bgz,categorical-120-both_sexes-1.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-120-both_sexes-1.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-120-both_sexes-1.tsv.bgz.tbi,1715.0,279.0,2005.0,704.0,238519.0,322.0,4909.0,701.0,6844.0,2003.0,181954.0,1273.0,PASS,n_too_low,PASS,PASS,PASS,h2_z_insignificant
categorical|120|both_sexes|9|,categorical,120,both_sexes,9,,Birth weight known,Birth weight known   This question was dropped from the touchscreen protocol on 24/10/2016.,No,UK Biobank Assessment Centre > Verbal interview > Early life factors,"AFR,AMR,CSA,EAS,EUR,MID",6,"AFR,CSA,EUR",3,True,False,True,categorical-120-both_sexes-9.tsv.bgz,categorical-120-both_sexes-9.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-120-both_sexes-9.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-120-both_sexes-9.tsv.bgz.tbi,4844.0,557.0,6672.0,1704.0,180757.0,1130.0,1780.0,423.0,2177.0,1003.0,239716.0,465.0,PASS,n_too_low,PASS,h2_z_insignificant,PASS,h2_z_insignificant
categorical|1210|both_sexes|1210|,categorical,1210,both_sexes,1210,,Snoring,"ACE touchscreen question ""Does your partner or a close relative or friend complain about your snoring?"" If the participant activated the Help button they were shown the message:     If you are unsure, please provide an estimate or select Do not know.     ",,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sleep,"AFR,AMR,CSA,EAS,EUR,MID",6,"CSA,EUR",2,True,False,True,categorical-1210-both_sexes-1210.tsv.bgz,categorical-1210-both_sexes-1210.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-1210-both_sexes-1210.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-1210-both_sexes-1210.tsv.bgz.tbi,3790.0,561.0,4634.0,1511.0,245268.0,854.0,2046.0,315.0,3270.0,837.0,146263.0,536.0,h2_z_insignificant,n_too_low,PASS,h2_z_insignificant,PASS,h2_z_insignificant
categorical|1418|both_sexes|1|,categorical,1418,both_sexes,1,,Milk type used,"ACE touchscreen question ""What type of milk do you mainly use?"" If the participant activated the Help button they were shown the message:     If you use more than one type of milk, please select the one that you drink the most. If you are unsure, select Do not know.     ",Full cream,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet,"AFR,AMR,CSA,EAS,EUR,MID",6,"EUR,MID",2,True,False,True,categorical-1418-both_sexes-1.tsv.bgz,categorical-1418-both_sexes-1.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-1418-both_sexes-1.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-1418-both_sexes-1.tsv.bgz.tbi,926.0,96.0,1593.0,401.0,26497.0,242.0,5621.0,867.0,7093.0,2251.0,393593.0,1321.0,h2_z_insignificant,n_too_low,h2_z_insignificant,h2_z_insignificant,PASS,PASS
categorical|1428|both_sexes|0|,categorical,1428,both_sexes,0,,Spread type,"ACE touchscreen question ""What type of spread do you mainly use?"" If the participant activated the Help button they were shown the message:     If you use more than one type of spread, please select the one that you use the most. If you are unsure, select Do not know.     ",Never/rarely use spread,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet,"AFR,AMR,CSA,EAS,EUR,MID",6,"CSA,EUR,MID",3,True,False,True,categorical-1428-both_sexes-0.tsv.bgz,categorical-1428-both_sexes-0.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-1428-both_sexes-0.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-1428-both_sexes-0.tsv.bgz.tbi,1170.0,188.0,1232.0,564.0,42617.0,492.0,5324.0,770.0,7351.0,2038.0,376884.0,1032.0,h2_z_insignificant,n_too_low,PASS,h2_z_insignificant,PASS,PASS
categorical|1428|both_sexes|1|,categorical,1428,both_sexes,1,,Spread type,"ACE touchscreen question ""What type of spread do you mainly use?"" If the participant activated the Help button they were shown the message:     If you use more than one type of spread, please select the one that you use the most. If you are unsure, select Do not know.     ",Butter/spreadable butter,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet,"AFR,AMR,CSA,EAS,EUR,MID",6,"EAS,EUR",2,True,False,True,categorical-1428-both_sexes-1.tsv.bgz,categorical-1428-both_sexes-1.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-1428-both_sexes-1.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-1428-both_sexes-1.tsv.bgz.tbi,2276.0,392.0,2611.0,984.0,152410.0,503.0,4218.0,566.0,5972.0,1618.0,267091.0,1021.0,h2_z_insignificant,n_too_low,h2_z_insignificant,PASS,PASS,h2_z_insignificant
categorical|1448|both_sexes|1|,categorical,1448,both_sexes,1,,Bread type,"ACE touchscreen question ""What type of bread do you mainly eat?"" If the participant activated the Help button they were shown the message:     If you eat more than one type of bread, please select the one that you eat the most. If you are unsure, select Do not know.      ~F1448~ was collected from all participants except those who indicated that they do not eat bread or less than one slice each week, as defined by their answers to ~F1438~",White,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet,"AFR,AMR,CSA,EAS,EUR,MID",6,"EUR,MID",2,True,False,True,categorical-1448-both_sexes-1.tsv.bgz,categorical-1448-both_sexes-1.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-1448-both_sexes-1.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-1448-both_sexes-1.tsv.bgz.tbi,1820.0,236.0,2440.0,872.0,107422.0,386.0,4277.0,679.0,5845.0,1552.0,298285.0,1135.0,h2_z_insignificant,n_too_low,h2_z_insignificant,h2_z_insignificant,PASS,PASS
categorical|1468|both_sexes|2|,categorical,1468,both_sexes,2,,Cereal type,"ACE touchscreen question ""What type of cereal do you mainly eat?"" If the participant activated the Help button they were shown the message:     If you eat more than one type of cereal, please select the one that you eat the most. If you are unsure, select Do not know.      ~F1468~ was collected from all participants except those who indicated that they do not eat cereal or less than one bowl of cereal each week, as defined by their answers to ~F1458~",Biscuit cereal (e.g. Weetabix),UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet,"AFR,AMR,CSA,EAS,EUR,MID",6,"EUR,MID",2,True,False,True,categorical-1468-both_sexes-2.tsv.bgz,categorical-1468-both_sexes-2.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-1468-both_sexes-2.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-1468-both_sexes-2.tsv.bgz.tbi,749.0,88.0,1365.0,196.0,62649.0,171.0,4114.0,601.0,5090.0,1432.0,286878.0,886.0,h2_z_insignificant,n_too_low,h2_z_insignificant,h2_z_insignificant,PASS,PASS
categorical|1468|both_sexes|4|,categorical,1468,both_sexes,4,,Cereal type,"ACE touchscreen question ""What type of cereal do you mainly eat?"" If the participant activated the Help button they were shown the message:     If you eat more than one type of cereal, please select the one that you eat the most. If you are unsure, select Do not know.      ~F1468~ was collected from all participants except those who indicated that they do not eat cereal or less than one bowl of cereal each week, as defined by their answers to ~F1458~",Muesli,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet,"AFR,AMR,CSA,EAS,EUR,MID",6,"EUR,MID",2,True,False,True,categorical-1468-both_sexes-4.tsv.bgz,categorical-1468-both_sexes-4.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-1468-both_sexes-4.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-1468-both_sexes-4.tsv.bgz.tbi,586.0,138.0,866.0,332.0,70931.0,213.0,4277.0,551.0,5589.0,1296.0,278596.0,844.0,h2_z_insignificant,n_too_low,h2_z_insignificant,h2_z_insignificant,PASS,PASS
categorical|1538|both_sexes|0|,categorical,1538,both_sexes,0,,Major dietary changes in the last 5 years,"ACE touchscreen question ""Have you made any major changes to your diet in the last 5 years?""",No,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet,"AFR,AMR,CSA,EAS,EUR,MID",6,"CSA,EUR",2,True,False,True,categorical-1538-both_sexes-0.tsv.bgz,categorical-1538-both_sexes-0.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-1538-both_sexes-0.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-1538-both_sexes-0.tsv.bgz.tbi,2892.0,473.0,4511.0,1726.0,257507.0,855.0,3612.0,479.0,4067.0,891.0,162002.0,708.0,h2_z_insignificant,n_too_low,PASS,h2_z_insignificant,PASS,h2_z_insignificant
categorical|1538|both_sexes|1|,categorical,1538,both_sexes,1,,Major dietary changes in the last 5 years,"ACE touchscreen question ""Have you made any major changes to your diet in the last 5 years?""","Yes, because of illness",UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet,"AFR,AMR,CSA,EAS,EUR,MID",6,"CSA,EUR",2,True,False,True,categorical-1538-both_sexes-1.tsv.bgz,categorical-1538-both_sexes-1.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-1538-both_sexes-1.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-1538-both_sexes-1.tsv.bgz.tbi,1260.0,114.0,1766.0,236.0,44564.0,288.0,5244.0,838.0,6812.0,2381.0,374945.0,1275.0,h2_z_insignificant,n_too_low,PASS,h2_z_insignificant,PASS,h2_z_insignificant
categorical|1538|both_sexes|2|,categorical,1538,both_sexes,2,,Major dietary changes in the last 5 years,"ACE touchscreen question ""Have you made any major changes to your diet in the last 5 years?""","Yes, because of other reasons",UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet,"AFR,AMR,CSA,EAS,EUR,MID",6,"EUR,MID",2,True,False,True,categorical-1538-both_sexes-2.tsv.bgz,categorical-1538-both_sexes-2.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-1538-both_sexes-2.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-1538-both_sexes-2.tsv.bgz.tbi,2352.0,365.0,2301.0,655.0,117438.0,420.0,4152.0,587.0,6277.0,1962.0,302071.0,1143.0,h2_z_insignificant,n_too_low,h2_z_insignificant,h2_z_insignificant,PASS,PASS
